policy_id,simple_question,risk_category,source,created_at,similarity
EU_AI_Act_Art_1_2d,What penalties apply if harmonised transparency rules for certain AI systems is violated?,Low Risk,template,2025-11-11T12:51:04.139164,0.83
EU_AI_Act_Art_1_2d,How can we meet EU_AI_Act_Art_1_2d requirements on harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139175,0.83
EU_AI_Act_Art_1_2e,What does EU_AI_Act_Art_1_2e say about harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428695,0.564
EU_AI_Act_Art_1_2e,Do we need to comply with EU_AI_Act_Art_1_2e when handling harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428729,0.558
EU_AI_Act_Art_1_2e,Is harmonised rules for the placing on the market allowed under the EU_AI_Act_Art_1_2e?,Low Risk,template,2025-11-11T12:51:04.428752,0.53
EU_AI_Act_Art_1_2e,Are there transparency requirements for harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428773,0.44
EU_AI_Act_Art_1_2e,What are the obligations regarding harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428791,0.488
EU_AI_Act_Art_1_2e,Can we process harmonised rules for the placing on the market data under this law?,Low Risk,template,2025-11-11T12:51:04.428811,0.454
EU_AI_Act_Art_1_2e,Who is responsible for ensuring harmonised rules for the placing on the market compliance?,Low Risk,template,2025-11-11T12:51:04.428831,0.373
EU_AI_Act_Art_1_2e,Does this law prohibit harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428849,0.391
EU_AI_Act_Art_1_2e,What penalties apply if harmonised rules for the placing on the market is violated?,Low Risk,template,2025-11-11T12:51:04.428866,0.335
EU_AI_Act_Art_1_2e,How can we meet EU_AI_Act_Art_1_2e requirements on harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:04.428884,0.595
EU_AI_Act_Art_1_2f,What does EU_AI_Act_Art_1_2f say about rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716142,0.747
EU_AI_Act_Art_1_2f,Do we need to comply with EU_AI_Act_Art_1_2f when handling rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716169,0.699
EU_AI_Act_Art_1_2f,Is rules on market monitoring market surveillance governance and allowed under the EU_AI_Act_Art_1_2f?,Low Risk,template,2025-11-11T12:51:04.716185,0.793
EU_AI_Act_Art_1_2f,Are there transparency requirements for rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716201,0.843
EU_AI_Act_Art_1_2f,What are the obligations regarding rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716216,0.903
EU_AI_Act_Art_1_2f,Can we process rules on market monitoring market surveillance governance and data under this law?,Low Risk,template,2025-11-11T12:51:04.716233,0.881
EU_AI_Act_Art_1_2f,Who is responsible for ensuring rules on market monitoring market surveillance governance and compliance?,Low Risk,template,2025-11-11T12:51:04.716252,0.875
EU_AI_Act_Art_1_2f,Does this law prohibit rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716267,0.853
EU_AI_Act_Art_1_2f,What penalties apply if rules on market monitoring market surveillance governance and is violated?,Low Risk,template,2025-11-11T12:51:04.716282,0.83
EU_AI_Act_Art_1_2f,How can we meet EU_AI_Act_Art_1_2f requirements on rules on market monitoring market surveillance governance and?,Low Risk,template,2025-11-11T12:51:04.716299,0.733
EU_AI_Act_Art_1_2g,What does EU_AI_Act_Art_1_2g say about measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.987940,0.555
EU_AI_Act_Art_1_2g,Do we need to comply with EU_AI_Act_Art_1_2g when handling measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.987969,0.483
EU_AI_Act_Art_1_2g,Is measures to support innovation with a particular focus allowed under the EU_AI_Act_Art_1_2g?,Low Risk,template,2025-11-11T12:51:04.987985,0.52
EU_AI_Act_Art_1_2g,Are there transparency requirements for measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.988002,0.593
EU_AI_Act_Art_1_2g,What are the obligations regarding measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.988019,0.645
EU_AI_Act_Art_1_2g,Can we process measures to support innovation with a particular focus data under this law?,Low Risk,template,2025-11-11T12:51:04.988037,0.563
EU_AI_Act_Art_1_2g,Who is responsible for ensuring measures to support innovation with a particular focus compliance?,Low Risk,template,2025-11-11T12:51:04.988054,0.567
EU_AI_Act_Art_1_2g,Does this law prohibit measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.988068,0.459
EU_AI_Act_Art_1_2g,What penalties apply if measures to support innovation with a particular focus is violated?,Low Risk,template,2025-11-11T12:51:04.988083,0.516
EU_AI_Act_Art_1_2g,How can we meet EU_AI_Act_Art_1_2g requirements on measures to support innovation with a particular focus?,Low Risk,template,2025-11-11T12:51:04.988101,0.541
EU_AI_Act_Art_2_1a,What does EU_AI_Act_Art_2_1a say about providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268253,0.628
EU_AI_Act_Art_2_1a,Do we need to comply with EU_AI_Act_Art_2_1a when handling providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268274,0.566
EU_AI_Act_Art_2_1a,Is providers placing on the market or putting into allowed under the EU_AI_Act_Art_2_1a?,Low Risk,template,2025-11-11T12:51:05.268286,0.618
EU_AI_Act_Art_2_1a,Are there transparency requirements for providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268296,0.437
EU_AI_Act_Art_2_1a,What are the obligations regarding providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268305,0.463
EU_AI_Act_Art_2_1a,Can we process providers placing on the market or putting into data under this law?,Low Risk,template,2025-11-11T12:51:05.268315,0.417
EU_AI_Act_Art_2_1a,Who is responsible for ensuring providers placing on the market or putting into compliance?,Low Risk,template,2025-11-11T12:51:05.268325,0.431
EU_AI_Act_Art_2_1a,Does this law prohibit providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268334,0.365
EU_AI_Act_Art_2_1a,What penalties apply if providers placing on the market or putting into is violated?,Low Risk,template,2025-11-11T12:51:05.268343,0.274
EU_AI_Act_Art_2_1a,How can we meet EU_AI_Act_Art_2_1a requirements on providers placing on the market or putting into?,Low Risk,template,2025-11-11T12:51:05.268354,0.612
EU_AI_Act_Art_2_1b,What does EU_AI_Act_Art_2_1b say about deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562463,0.73
EU_AI_Act_Art_2_1b,Do we need to comply with EU_AI_Act_Art_2_1b when handling deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562492,0.634
EU_AI_Act_Art_2_1b,Is deployers of AI systems that have their place allowed under the EU_AI_Act_Art_2_1b?,Low Risk,template,2025-11-11T12:51:05.562508,0.707
EU_AI_Act_Art_2_1b,Are there transparency requirements for deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562525,0.636
EU_AI_Act_Art_2_1b,What are the obligations regarding deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562542,0.722
EU_AI_Act_Art_2_1b,Can we process deployers of AI systems that have their place data under this law?,Low Risk,template,2025-11-11T12:51:05.562558,0.652
EU_AI_Act_Art_2_1b,Who is responsible for ensuring deployers of AI systems that have their place compliance?,Low Risk,template,2025-11-11T12:51:05.562574,0.703
EU_AI_Act_Art_2_1b,Does this law prohibit deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562587,0.674
EU_AI_Act_Art_2_1b,What penalties apply if deployers of AI systems that have their place is violated?,Low Risk,template,2025-11-11T12:51:05.562602,0.578
EU_AI_Act_Art_2_1b,How can we meet EU_AI_Act_Art_2_1b requirements on deployers of AI systems that have their place?,Low Risk,template,2025-11-11T12:51:05.562640,0.673
EU_AI_Act_Art_2_1c,What does EU_AI_Act_Art_2_1c say about providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843694,0.693
EU_AI_Act_Art_2_1c,Do we need to comply with EU_AI_Act_Art_2_1c when handling providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843724,0.571
EU_AI_Act_Art_2_1c,Is providers and deployers of AI systems that have allowed under the EU_AI_Act_Art_2_1c?,Low Risk,template,2025-11-11T12:51:05.843742,0.653
EU_AI_Act_Art_2_1c,Are there transparency requirements for providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843760,0.585
EU_AI_Act_Art_2_1c,What are the obligations regarding providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843775,0.626
EU_AI_Act_Art_2_1c,Can we process providers and deployers of AI systems that have data under this law?,Low Risk,template,2025-11-11T12:51:05.843790,0.552
EU_AI_Act_Art_2_1c,Who is responsible for ensuring providers and deployers of AI systems that have compliance?,Low Risk,template,2025-11-11T12:51:05.843805,0.593
EU_AI_Act_Art_2_1c,Does this law prohibit providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843820,0.55
EU_AI_Act_Art_2_1c,What penalties apply if providers and deployers of AI systems that have is violated?,Low Risk,template,2025-11-11T12:51:05.843835,0.499
EU_AI_Act_Art_2_1c,How can we meet EU_AI_Act_Art_2_1c requirements on providers and deployers of AI systems that have?,Low Risk,template,2025-11-11T12:51:05.843851,0.61
EU_AI_Act_Art_2_1d,What does EU_AI_Act_Art_2_1d say about importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131831,0.792
EU_AI_Act_Art_2_1d,Do we need to comply with EU_AI_Act_Art_2_1d when handling importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131858,0.702
EU_AI_Act_Art_2_1d,Is importers and distributors of AI systems allowed under the EU_AI_Act_Art_2_1d?,Low Risk,template,2025-11-11T12:51:06.131869,0.744
EU_AI_Act_Art_2_1d,Are there transparency requirements for importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131880,0.748
EU_AI_Act_Art_2_1d,What are the obligations regarding importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131890,0.823
EU_AI_Act_Art_2_1d,Can we process importers and distributors of AI systems data under this law?,Low Risk,template,2025-11-11T12:51:06.131901,0.755
EU_AI_Act_Art_2_1d,Who is responsible for ensuring importers and distributors of AI systems compliance?,Low Risk,template,2025-11-11T12:51:06.131912,0.777
EU_AI_Act_Art_2_1d,Does this law prohibit importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131922,0.735
EU_AI_Act_Art_2_1d,What penalties apply if importers and distributors of AI systems is violated?,Low Risk,template,2025-11-11T12:51:06.131932,0.683
EU_AI_Act_Art_2_1d,How can we meet EU_AI_Act_Art_2_1d requirements on importers and distributors of AI systems?,Low Risk,template,2025-11-11T12:51:06.131943,0.77
EU_AI_Act_Art_2_1e,What does EU_AI_Act_Art_2_1e say about product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.433944,0.645
EU_AI_Act_Art_2_1e,Do we need to comply with EU_AI_Act_Art_2_1e when handling product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.433976,0.585
EU_AI_Act_Art_2_1e,Is product manufacturers placing on the market or putting allowed under the EU_AI_Act_Art_2_1e?,Low Risk,template,2025-11-11T12:51:06.433995,0.625
EU_AI_Act_Art_2_1e,Are there transparency requirements for product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.434011,0.46
EU_AI_Act_Art_2_1e,What are the obligations regarding product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.434025,0.556
EU_AI_Act_Art_2_1e,Can we process product manufacturers placing on the market or putting data under this law?,Low Risk,template,2025-11-11T12:51:06.434040,0.549
EU_AI_Act_Art_2_1e,Who is responsible for ensuring product manufacturers placing on the market or putting compliance?,Low Risk,template,2025-11-11T12:51:06.434056,0.561
EU_AI_Act_Art_2_1e,Does this law prohibit product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.434072,0.459
EU_AI_Act_Art_2_1e,What penalties apply if product manufacturers placing on the market or putting is violated?,Low Risk,template,2025-11-11T12:51:06.434086,0.421
EU_AI_Act_Art_2_1e,How can we meet EU_AI_Act_Art_2_1e requirements on product manufacturers placing on the market or putting?,Low Risk,template,2025-11-11T12:51:06.434101,0.613
EU_AI_Act_Art_2_1f,What does EU_AI_Act_Art_2_1f say about authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717699,0.695
EU_AI_Act_Art_2_1f,Do we need to comply with EU_AI_Act_Art_2_1f when handling authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717729,0.629
EU_AI_Act_Art_2_1f,Is authorised representatives of providers which are not established allowed under the EU_AI_Act_Art_2_1f?,Low Risk,template,2025-11-11T12:51:06.717748,0.716
EU_AI_Act_Art_2_1f,Are there transparency requirements for authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717766,0.744
EU_AI_Act_Art_2_1f,What are the obligations regarding authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717783,0.837
EU_AI_Act_Art_2_1f,Can we process authorised representatives of providers which are not established data under this law?,Low Risk,template,2025-11-11T12:51:06.717800,0.711
EU_AI_Act_Art_2_1f,Who is responsible for ensuring authorised representatives of providers which are not established compliance?,Low Risk,template,2025-11-11T12:51:06.717817,0.737
EU_AI_Act_Art_2_1f,Does this law prohibit authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717831,0.803
EU_AI_Act_Art_2_1f,What penalties apply if authorised representatives of providers which are not established is violated?,Low Risk,template,2025-11-11T12:51:06.717848,0.653
EU_AI_Act_Art_2_1f,How can we meet EU_AI_Act_Art_2_1f requirements on authorised representatives of providers which are not established?,Low Risk,template,2025-11-11T12:51:06.717865,0.631
EU_AI_Act_Art_2_1g,What does EU_AI_Act_Art_2_1g say about affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994098,0.673
EU_AI_Act_Art_2_1g,Do we need to comply with EU_AI_Act_Art_2_1g when handling affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994120,0.585
EU_AI_Act_Art_2_1g,Is affected persons that are located in the Union allowed under the EU_AI_Act_Art_2_1g?,Low Risk,template,2025-11-11T12:51:06.994131,0.674
EU_AI_Act_Art_2_1g,Are there transparency requirements for affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994141,0.741
EU_AI_Act_Art_2_1g,What are the obligations regarding affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994150,0.823
EU_AI_Act_Art_2_1g,Can we process affected persons that are located in the Union data under this law?,Low Risk,template,2025-11-11T12:51:06.994161,0.697
EU_AI_Act_Art_2_1g,Who is responsible for ensuring affected persons that are located in the Union compliance?,Low Risk,template,2025-11-11T12:51:06.994172,0.794
EU_AI_Act_Art_2_1g,Does this law prohibit affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994181,0.735
EU_AI_Act_Art_2_1g,What penalties apply if affected persons that are located in the Union is violated?,Low Risk,template,2025-11-11T12:51:06.994191,0.735
EU_AI_Act_Art_2_1g,How can we meet EU_AI_Act_Art_2_1g requirements on affected persons that are located in the Union?,Low Risk,template,2025-11-11T12:51:06.994201,0.588
EU_AI_Act_Art_2_2_Intro,What does EU_AI_Act_Art_2_2_Intro say about For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281466,0.756
EU_AI_Act_Art_2_2_Intro,Do we need to comply with EU_AI_Act_Art_2_2_Intro when handling For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281494,0.674
EU_AI_Act_Art_2_2_Intro,Is For AI systems classified as high risk AI allowed under the EU_AI_Act_Art_2_2_Intro?,Low Risk,template,2025-11-11T12:51:07.281509,0.755
EU_AI_Act_Art_2_2_Intro,Are there transparency requirements for For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281523,0.681
EU_AI_Act_Art_2_2_Intro,What are the obligations regarding For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281537,0.816
EU_AI_Act_Art_2_2_Intro,Can we process For AI systems classified as high risk AI data under this law?,Low Risk,template,2025-11-11T12:51:07.281552,0.724
EU_AI_Act_Art_2_2_Intro,Who is responsible for ensuring For AI systems classified as high risk AI compliance?,Low Risk,template,2025-11-11T12:51:07.281567,0.722
EU_AI_Act_Art_2_2_Intro,Does this law prohibit For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281583,0.772
EU_AI_Act_Art_2_2_Intro,What penalties apply if For AI systems classified as high risk AI is violated?,Low Risk,template,2025-11-11T12:51:07.281600,0.724
EU_AI_Act_Art_2_2_Intro,How can we meet EU_AI_Act_Art_2_2_Intro requirements on For AI systems classified as high risk AI?,Low Risk,template,2025-11-11T12:51:07.281643,0.705
EU_AI_Act_Art_2_21,What does EU_AI_Act_Art_2_21 say about related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626492,0.711
EU_AI_Act_Art_2_21,Do we need to comply with EU_AI_Act_Art_2_21 when handling related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626525,0.723
EU_AI_Act_Art_2_21,Is related to products covered by the Union harmonisation allowed under the EU_AI_Act_Art_2_21?,Low Risk,template,2025-11-11T12:51:07.626542,0.717
EU_AI_Act_Art_2_21,Are there transparency requirements for related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626560,0.614
EU_AI_Act_Art_2_21,What are the obligations regarding related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626575,0.668
EU_AI_Act_Art_2_21,Can we process related to products covered by the Union harmonisation data under this law?,Low Risk,template,2025-11-11T12:51:07.626590,0.625
EU_AI_Act_Art_2_21,Who is responsible for ensuring related to products covered by the Union harmonisation compliance?,Low Risk,template,2025-11-11T12:51:07.626606,0.614
EU_AI_Act_Art_2_21,Does this law prohibit related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626636,0.619
EU_AI_Act_Art_2_21,What penalties apply if related to products covered by the Union harmonisation is violated?,Low Risk,template,2025-11-11T12:51:07.626656,0.6
EU_AI_Act_Art_2_21,How can we meet EU_AI_Act_Art_2_21 requirements on related to products covered by the Union harmonisation?,Low Risk,template,2025-11-11T12:51:07.626736,0.74
EU_AI_Act_Art_2_3,What does EU_AI_Act_Art_2_3 say about This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053310,0.548
EU_AI_Act_Art_2_3,Do we need to comply with EU_AI_Act_Art_2_3 when handling This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053345,0.552
EU_AI_Act_Art_2_3,Is This Regulation does not apply to areas outside allowed under the EU_AI_Act_Art_2_3?,Low Risk,template,2025-11-11T12:51:08.053363,0.597
EU_AI_Act_Art_2_3,Are there transparency requirements for This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053420,0.43
EU_AI_Act_Art_2_3,What are the obligations regarding This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053452,0.396
EU_AI_Act_Art_2_3,Can we process This Regulation does not apply to areas outside data under this law?,Low Risk,template,2025-11-11T12:51:08.053471,0.488
EU_AI_Act_Art_2_3,Who is responsible for ensuring This Regulation does not apply to areas outside compliance?,Low Risk,template,2025-11-11T12:51:08.053488,0.425
EU_AI_Act_Art_2_3,Does this law prohibit This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053505,0.421
EU_AI_Act_Art_2_3,What penalties apply if This Regulation does not apply to areas outside is violated?,Low Risk,template,2025-11-11T12:51:08.053521,0.349
EU_AI_Act_Art_2_3,How can we meet EU_AI_Act_Art_2_3 requirements on This Regulation does not apply to areas outside?,Low Risk,template,2025-11-11T12:51:08.053540,0.525
EU_AI_Act_Art_2_4,What does EU_AI_Act_Art_2_4 say about This Regulation applies neither to public authorities in?,Low Risk,template,2025-11-11T12:51:08.468963,0.713
EU_AI_Act_Art_2_4,Do we need to comply with EU_AI_Act_Art_2_4 when handling This Regulation applies neither to public authorities in?,Low Risk,template,2025-11-11T12:51:08.468998,0.662
EU_AI_Act_Art_2_4,Is This Regulation applies neither to public authorities in allowed under the EU_AI_Act_Art_2_4?,Low Risk,template,2025-11-11T12:51:08.469018,0.709
EU_AI_Act_Art_2_4,Are there transparency requirements for This Regulation applies neither to public authorities in?,Low Risk,template,2025-11-11T12:51:08.469037,0.613
